Account;accountNbr;string;true
Status;received;string;true
Division;acctDivisionNbr;string;true
Bill received date;billReceivedDate;string;true
File Number;fileNbr;string;true
Last Name;eELastName;string;true
First name;eEFirstName;string;true
Billing SP;billingAgentCD;string;true
Booking Agent;bookingAgentCD;string;true
Shipment Type;shipmentTypeCD;string;true
Transit Type;transitTypeCD;string;true
Transit Mode;transitModeCD;string;true
Load Date;loadDate;string;true
Origin City;originCity;string;true
Origin State;originStateProv;string;true
Origin Country;originCountryCD;string;true
Destination City;destCity;string;true
Destination State;destStateProv;string;true
Destination Country;destCountryCD;string;true
Bill Type;billTypeCD;string;true
SP Bill Number;sPBillNbr;string;true
SP Bill Amount;sPBillNetAmt;number;true
Currency;currencyCD;string;true
Storage on Bill;stgOnBill;string;true
SPBillDate;spBillDate;string;true
Auditor;auditor;decimal;true
Cost Center;costCenter;string;true
cost EE number;eENumber;string;true
Model CD;modelCD;string;true
SP Bill Amount;sPBillNetAmt;string;true
ClientID;clientID;number;true
SPBill Gross amount;sPBillGrossAmt;number;true
